Time,TC1/u (J_per_m3),TC2/u (J_per_m3),TC3/u (J_per_m3),TC4/u (J_per_m3),TC5/u (J_per_m3),TC9/u (J_per_m3)
250.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
255.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
260.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
265.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
270.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
275.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
280.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
285.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
290.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
295.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
300.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
305.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
310.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
315.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
320.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
325.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
330.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
335.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
340.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
345.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
350.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.367305469795,5150.23842134007
355.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
360.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
365.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.367305469795,5150.23842134007
370.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.367305469795,5150.23842134007
375.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
380.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
385.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
390.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.367305469795,5150.23842134007
395.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
400.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
405.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
410.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
415.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
420.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
425.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
430.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.367305469795,5150.23842134007
435.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
440.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
445.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
450.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.367305469795,5150.23842134007
455.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
460.0,3403.9962475848974,3473.9136890079008,3473.913689007901,3514.3022820715905,3543.3673054697942,5150.23842134007
465.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
470.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.367305469795,5150.23842134007
475.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
