Time(s),TC9/u,B1V1/u,B2V1/u
0.0,-16.0,-16.0,-16.0
0.01,1722.623370231591,2934.6668455627178,2421.537776365053
0.02,3103.2217345494078,4242.95023765465,3756.9499578332225
0.03,3975.0928906131144,4896.891550389441,4460.595351630859
0.04,4487.458731331026,5244.346356358584,4839.396727153438
0.05,4779.583491495686,5433.8077871686055,5046.417464720112
0.06,4943.837341017659,5538.16444212785,5160.410246298318
0.07,5035.563899767528,5595.862091864434,5223.390224840512
0.08,5086.606578008105,5627.805640340924,5258.23644825982
0.09,5114.955239225188,5645.498590880507,5277.5283199833075
0.1,5130.682621935251,5655.299508195666,5288.211606246049
0.11,5139.402350258135,5660.728699811709,5294.128351063637
0.12,5144.234983013787,5663.736112039976,5297.405387952672
0.13,5146.912696347316,5665.401974541487,5299.220439548903
0.14,5148.396179590005,5666.324707468645,5300.22575163866
0.15,5149.217973708817,5666.835807813426,5300.782571828703
0.16,5149.673191971466,5667.118902522974,5301.090983064958
0.17,5149.925343450666,5667.275705499882,5301.261805958539
0.18,5150.065010548854,5667.3625565118155,5301.356421474918
0.19,5150.1423713411405,5667.410661952104,5301.408827221903
0.2,5150.185220675615,5667.437306766165,5301.437853786658
0.21,5150.208954350056,5667.452064873938,5301.45393106322
0.22,5150.222100072451,5667.460239131791,5301.462835970533
0.23,5150.229381273799,5667.464766708125,5301.467768235261
0.24,5150.233414207345,5667.467274451534,5301.470500126406
0.25,5150.23564797882,5667.468663445407,5301.472013270986
0.26,5150.236885225214,5667.469432783987,5301.472851374153
0.27,5150.237570513827,5667.469858906675,5301.473315584211
0.28,5150.237950082838,5667.470094928293,5301.4735727017005
0.29,5150.238160319247,5667.470225656379,5301.473715114393
0.3,5150.238276765381,5667.470298064287,5301.47379399419
0.31,5150.238341262779,5667.470338169709,5301.473837684272
0.32,5150.2383769867165,5667.470360383373,5301.4738618834135
0.33,5150.238396773554,5667.470372687118,5301.473875286877
0.34,5150.2384077331235,5667.470379501937,5301.473882710811
0.35000000000000003,5150.23841380343,5667.470383276542,5301.473886822793
0.36,5150.238417165662,5667.470385367226,5301.473889100346
0.37,5150.238419027941,5667.4703865252195,5301.473890361841
0.38,5150.238420059423,5667.47038716661,5301.473891060559
0.39,5150.238420630743,5667.470387521865,5301.473891447567
0.4,5150.238420947186,5667.470387718633,5301.473891661924
0.41000000000000003,5150.238421122459,5667.4703878276205,5301.473891780653
0.42,5150.238421219539,5667.470387887985,5301.473891846414
0.43,5150.23842127331,5667.470387921422,5301.473891882837
0.44,5150.238421303093,5667.470387939941,5301.473891903012
0.45,5150.238421319589,5667.4703879501985,5301.473891914186
0.46,5150.238421328725,5667.470387955879,5301.4738919203755
0.47000000000000003,5150.238421333786,5667.470387959027,5301.473891923804
0.48,5150.2384213365885,5667.47038796077,5301.473891925702
0.49,5150.238421338142,5667.4703879617355,5301.473891926755
0.5,5150.238421339002,5667.47038796227,5301.473891927336
0.51,5150.238421339478,5667.470387962566,5301.473891927659
0.52,5150.238421339743,5667.47038796273,5301.473891927838
0.53,5150.238421339889,5667.4703879628205,5301.473891927937
0.54,5150.238421339969,5667.470387962872,5301.473891927993
0.55,5150.238421340015,5667.4703879629,5301.473891928023
0.56,5150.23842134004,5667.470387962914,5301.47389192804
0.5700000000000001,5150.238421340053,5667.470387962923,5301.473891928049
0.58,5150.23842134006,5667.470387962928,5301.473891928054
0.59,5150.238421340064,5667.4703879629305,5301.473891928057
0.6,5150.238421340067,5667.470387962931,5301.473891928058
0.61,5150.238421340069,5667.470387962932,5301.473891928059
0.62,5150.238421340069,5667.470387962933,5301.47389192806
0.63,5150.238421340069,5667.470387962933,5301.47389192806
0.64,5150.23842134007,5667.470387962932,5301.47389192806
0.65,5150.23842134007,5667.470387962933,5301.47389192806
0.66,5150.23842134007,5667.470387962933,5301.47389192806
0.67,5150.23842134007,5667.470387962933,5301.47389192806
0.68,5150.23842134007,5667.470387962933,5301.47389192806
0.6900000000000001,5150.23842134007,5667.470387962933,5301.47389192806
0.7000000000000001,5150.23842134007,5667.470387962934,5301.47389192806
0.71,5150.23842134007,5667.470387962934,5301.47389192806
0.72,5150.23842134007,5667.470387962934,5301.47389192806
0.73,5150.23842134007,5667.470387962935,5301.47389192806
0.74,5150.23842134007,5667.470387962934,5301.47389192806
0.75,5150.23842134007,5667.470387962934,5301.47389192806
0.76,5150.23842134007,5667.470387962934,5301.47389192806
0.77,5150.23842134007,5667.470387962934,5301.47389192806
0.78,5150.23842134007,5667.470387962934,5301.47389192806
0.79,5150.23842134007,5667.470387962934,5301.47389192806
0.8,5150.23842134007,5667.470387962934,5301.47389192806
0.81,5150.23842134007,5667.470387962934,5301.47389192806
0.8200000000000001,5150.23842134007,5667.470387962934,5301.47389192806
0.8300000000000001,5150.23842134007,5667.470387962933,5301.47389192806
0.84,5150.23842134007,5667.470387962933,5301.47389192806
0.85,5150.23842134007,5667.470387962933,5301.47389192806
0.86,5150.23842134007,5667.470387962934,5301.47389192806
0.87,5150.23842134007,5667.470387962934,5301.47389192806
0.88,5150.23842134007,5667.470387962934,5301.47389192806
0.89,5150.23842134007,5667.470387962934,5301.47389192806
0.9,5150.23842134007,5667.470387962934,5301.47389192806
0.91,5150.23842134007,5667.470387962934,5301.47389192806
0.92,5150.23842134007,5667.470387962934,5301.47389192806
0.93,5150.23842134007,5667.470387962934,5301.47389192806
0.9400000000000001,5150.23842134007,5667.470387962934,5301.47389192806
0.9500000000000001,5150.23842134007,5667.470387962934,5301.47389192806
0.96,5150.23842134007,5667.470387962934,5301.47389192806
0.97,5150.23842134007,5667.470387962935,5301.47389192806
0.98,5150.23842134007,5667.470387962934,5301.47389192806
0.99,5150.23842134007,5667.470387962934,5301.47389192806
1.0,5150.23842134007,5667.470387962934,5301.47389192806
1.01,5150.23842134007,5667.470387962934,5301.47389192806
1.02,5150.23842134007,5667.470387962934,5301.47389192806
1.03,5150.23842134007,5667.470387962934,5301.47389192806
1.04,5150.23842134007,5667.470387962934,5301.47389192806
1.05,5150.23842134007,5667.470387962935,5301.47389192806
1.06,5150.23842134007,5667.470387962934,5301.47389192806
1.07,5150.23842134007,5667.470387962934,5301.47389192806
1.08,5150.23842134007,5667.470387962934,5301.47389192806
1.09,5150.23842134007,5667.470387962934,5301.47389192806
1.1,5150.23842134007,5667.470387962934,5301.47389192806
1.11,5150.23842134007,5667.470387962934,5301.47389192806
1.12,5150.23842134007,5667.470387962934,5301.47389192806
1.1300000000000001,5150.23842134007,5667.470387962935,5301.47389192806
1.1400000000000001,5150.23842134007,5667.470387962934,5301.47389192806
1.1500000000000001,5150.23842134007,5667.470387962933,5301.47389192806
1.16,5150.23842134007,5667.470387962933,5301.47389192806
1.17,5150.23842134007,5667.470387962933,5301.47389192806
1.18,5150.23842134007,5667.470387962933,5301.47389192806
1.19,5150.23842134007,5667.470387962933,5301.47389192806
1.2,5150.23842134007,5667.470387962934,5301.47389192806
1.21,5150.23842134007,5667.470387962934,5301.47389192806
1.22,5150.23842134007,5667.470387962934,5301.47389192806
1.23,5150.23842134007,5667.470387962935,5301.47389192806
1.24,5150.23842134007,5667.470387962934,5301.47389192806
1.25,5150.23842134007,5667.470387962934,5301.47389192806
1.26,5150.23842134007,5667.470387962934,5301.47389192806
1.27,5150.23842134007,5667.470387962934,5301.47389192806
1.28,5150.23842134007,5667.470387962934,5301.47389192806
1.29,5150.23842134007,5667.470387962934,5301.47389192806
1.3,5150.23842134007,5667.470387962934,5301.47389192806
1.31,5150.23842134007,5667.470387962934,5301.47389192806
1.32,5150.23842134007,5667.470387962934,5301.47389192806
1.33,5150.23842134007,5667.470387962934,5301.47389192806
1.34,5150.23842134007,5667.470387962935,5301.47389192806
1.35,5150.23842134007,5667.470387962934,5301.47389192806
1.36,5150.23842134007,5667.470387962933,5301.47389192806
1.37,5150.23842134007,5667.470387962933,5301.47389192806
1.3800000000000001,5150.23842134007,5667.470387962933,5301.47389192806
1.3900000000000001,5150.23842134007,5667.470387962933,5301.47389192806
1.4000000000000001,5150.23842134007,5667.470387962933,5301.47389192806
1.41,5150.23842134007,5667.470387962934,5301.47389192806
1.42,5150.23842134007,5667.470387962934,5301.47389192806
1.43,5150.23842134007,5667.470387962934,5301.47389192806
1.44,5150.23842134007,5667.470387962934,5301.47389192806
1.45,5150.23842134007,5667.470387962934,5301.47389192806
1.46,5150.23842134007,5667.470387962934,5301.47389192806
1.47,5150.23842134007,5667.470387962934,5301.47389192806
1.48,5150.23842134007,5667.470387962934,5301.47389192806
1.49,5150.23842134007,5667.470387962934,5301.47389192806
1.5,5150.23842134007,5667.470387962933,5301.47389192806
1.51,5150.23842134007,5667.470387962934,5301.47389192806
1.52,5150.23842134007,5667.470387962933,5301.47389192806
1.53,5150.23842134007,5667.470387962934,5301.47389192806
1.54,5150.23842134007,5667.470387962934,5301.47389192806
1.55,5150.23842134007,5667.470387962934,5301.47389192806
1.56,5150.23842134007,5667.470387962934,5301.47389192806
1.57,5150.23842134007,5667.470387962934,5301.47389192806
1.58,5150.23842134007,5667.470387962934,5301.47389192806
1.59,5150.23842134007,5667.470387962934,5301.47389192806
1.6,5150.23842134007,5667.470387962934,5301.47389192806
1.61,5150.23842134007,5667.470387962934,5301.47389192806
1.62,5150.23842134007,5667.470387962935,5301.47389192806
1.6300000000000001,5150.23842134007,5667.470387962934,5301.47389192806
1.6400000000000001,5150.23842134007,5667.470387962933,5301.47389192806
1.6500000000000001,5150.23842134007,5667.470387962933,5301.47389192806
1.6600000000000001,5150.23842134007,5667.470387962933,5301.47389192806
1.67,5150.23842134007,5667.470387962934,5301.47389192806
1.68,5150.23842134007,5667.470387962934,5301.47389192806
1.69,5150.23842134007,5667.470387962933,5301.47389192806
1.7,5150.23842134007,5667.470387962933,5301.47389192806
1.71,5150.23842134007,5667.470387962933,5301.47389192806
