Time,TC1/v (m3_per_s),TC2/v (m3_per_s),TC3/v (m3_per_s),TC4/v (m3_per_s),TC5/v (m3_per_s),TC9/v (m3_per_s)
0.15,4.3861692009859403e-13,5.104872462772988e-13,1.6024040991985632e-13,1.315813304780941e-12,3.275264296754556e-13,8.550843604698241e-13
0.16,4.432354881881162e-13,5.158695614242337e-13,1.618070082618203e-13,1.327315235912162e-12,3.301095267010513e-13,8.630288421459614e-13
0.17,4.468976171738212e-13,5.201372781756835e-13,1.630491784516947e-13,1.336435168133869e-12,3.3215768561460517e-13,8.693280811975618e-13
0.18,4.4980135650196176e-13,5.235211949183995e-13,1.640341045438915e-13,1.3436664102198516e-12,3.3378168510392094e-13,8.743227898765924e-13
0.19,4.521037548281563e-13,5.262043300772989e-13,1.64815059062414e-13,1.3494001026882931e-12,3.350693647038804e-13,8.782831257957735e-13
0.2,4.539293425864528e-13,5.283318068531224e-13,1.6543428284084404e-13,1.3539463806493189e-12,3.360903737811129e-13,8.814233003330874e-13
0.21,4.553768629377291e-13,5.300186970072281e-13,1.659252691722436e-13,1.3575511511420198e-12,3.368999380439628e-13,8.839131636343033e-13
0.22,4.565246108109461e-13,5.313562427017956e-13,1.6631457519868896e-13,1.3604093949723721e-12,3.3754184639518587e-13,8.85887391139772e-13
0.23,4.574346670734198e-13,5.324167908174467e-13,1.666232582791977e-13,1.3626757134511601e-12,3.380508193553658e-13,8.874527679004316e-13
0.24,4.581562561535096e-13,5.332577057953404e-13,1.6686801493576676e-13,1.3644726908285924e-12,3.384543870457681e-13,8.88693964453319e-13
0.25,4.587284084482906e-13,5.339244723089041e-13,1.6706208394653068e-13,1.3658975248674159e-12,3.387743782682811e-13,8.896781165840017e-13
0.26,4.591820714134251e-13,5.344531554525694e-13,1.6721596241994896e-13,1.3670272842447946e-12,3.3902810121151706e-13,8.904584566610665e-13
0.27,4.595417834790879e-13,5.34872351464559e-13,1.6733797357673043e-13,1.3679230771704737e-12,3.392292796417816e-13,8.910771929479689e-13
0.28,4.598270013158301e-13,5.352047344762771e-13,1.6743471694844932e-13,1.3686333567062805e-12,3.393887952152024e-13,8.915677926284693e-13
0.29,4.600531522347344e-13,5.354682829429337e-13,1.6751142534307856e-13,1.3691965415726234e-12,3.395152760617008e-13,8.919567920318158e-13
0.3,4.602324686429993e-13,5.356772520891833e-13,1.6757224788522873e-13,1.3696430942011707e-12,3.396155634768156e-13,8.922652319713345e-13
0.31,4.603746496892162e-13,5.358429449676503e-13,1.6762047444049311e-13,1.3699971684350354e-12,3.396950819644628e-13,8.9250979583304e-13
0.32,4.60487385886048e-13,5.359743238360549e-13,1.6765871356286807e-13,1.370277915999994e-12,3.397581326460489e-13,8.927037119729001e-13
0.33,4.605767750867344e-13,5.36078494921863e-13,1.6768903359032828e-13,1.3705005224132626e-12,3.398081259063088e-13,8.928574692330096e-13
0.34,4.606476523153739e-13,5.361610927950933e-13,1.677130745203516e-13,1.3706770283617144e-12,3.3984776585957415e-13,8.929793842786225e-13
0.35000000000000003,4.607038512913213e-13,5.362265851398166e-13,1.6773213671668836e-13,1.370816980977552e-12,3.3987919661417356e-13,8.930760514430617e-13
0.36,4.607484117934488e-13,5.362785144092935e-13,1.6774725124548656e-13,1.3709279502386522e-12,3.3990411824634803e-13,8.931526994124223e-13
0.37,4.607837440804939e-13,5.363196894357762e-13,1.6775923564522476e-13,1.3710159384254798e-12,3.399238787566561e-13,8.932134740429927e-13
0.38,4.608117592609374e-13,5.363523373590559e-13,1.677687381470234e-13,1.3710857047818965e-12,3.399395469827533e-13,8.932616626088709e-13
0.39,4.608339726640593e-13,5.363782240915127e-13,1.6777627273719095e-13,1.3711410229406524e-12,3.3995197041237207e-13,8.932998716092319e-13
0.4,4.60851585803452e-13,5.363987498355725e-13,1.6778224695852727e-13,1.3711848850375916e-12,3.3996182102357244e-13,8.933301677527668e-13
0.41000000000000003,4.608655513663837e-13,5.364150248200606e-13,1.6778698395414113e-13,1.37121966355501e-12,3.3996963163175446e-13,8.93354189745083e-13
0.42,4.608766247442562e-13,5.364279293520144e-13,1.6779073994612393e-13,1.3712472396482269e-12,3.3997582470941494e-13,8.933732369255989e-13
0.43,4.608854048914014e-13,5.364381614321159e-13,1.677937180944962e-13,1.3712691048964746e-12,3.3998073523750936e-13,8.933883395482635e-13
0.44,4.6089236672227e-13,5.364462745092584e-13,1.6779607948604558e-13,1.3712864419817971e-12,3.399846288244281e-13,8.934003145075577e-13
0.45,4.608978867993538e-13,5.364527074163557e-13,1.6779795184744315e-13,1.3713001886598158e-12,3.399877160726426e-13,8.934098095239723e-13
0.46,4.60902263701289e-13,5.364578081066357e-13,1.6779943645392624e-13,1.3713110884825395e-12,3.3999016397010547e-13,8.934173381789341e-13
