Time,TC1/u (J_per_m3),TC2/u (J_per_m3),TC3/u (J_per_m3),TC4/u (J_per_m3),TC5/u (J_per_m3),TC9/u (J_per_m3)
0.4,3403.9962475643065,3473.9136889660367,3473.913688955529,3514.3022820364527,3543.3673054072865,5150.238420947186
0.41000000000000003,3403.996247573493,3473.913688984713,3473.913688978893,3514.3022820521282,3543.3673054351725,5150.238421122459
0.42,3403.9962475785806,3473.913688995058,3473.9136889918336,3514.3022820608107,3543.3673054506176,5150.238421219539
0.43,3403.996247581398,3473.913689000787,3473.9136889990014,3514.3022820656197,3543.367305459173,5150.23842127331
0.44,3403.9962475829593,3473.913689003961,3473.9136890029718,3514.3022820682836,3543.3673054639116,5150.238421303093
0.45,3403.996247583824,3473.913689005719,3473.913689005171,3514.302282069759,3543.3673054665364,5150.238421319589
0.46,3403.996247584303,3473.9136890066925,3473.9136890063887,3514.302282070576,3543.3673054679907,5150.238421328725
0.47000000000000003,3403.996247584568,3473.913689007232,3473.9136890070636,3514.3022820710285,3543.3673054687947,5150.238421333786
0.48,3403.996247584715,3473.9136890075297,3473.9136890074374,3514.3022820712795,3543.367305469241,5150.2384213365885
0.49,3403.996247584796,3473.913689007695,3473.913689007644,3514.302282071418,3543.3673054694877,5150.238421338142
0.5,3403.9962475848415,3473.913689007787,3473.9136890077584,3514.302282071495,3543.3673054696246,5150.238421339002
0.51,3403.9962475848665,3473.913689007838,3473.9136890078225,3514.3022820715373,3543.3673054697,5150.238421339478
0.52,3403.99624758488,3473.913689007866,3473.9136890078576,3514.302282071561,3543.3673054697415,5150.238421339743
0.53,3403.9962475848874,3473.9136890078817,3473.9136890078767,3514.3022820715737,3543.367305469765,5150.238421339889
0.54,3403.996247584892,3473.9136890078903,3473.9136890078876,3514.302282071581,3543.3673054697774,5150.238421339969
0.55,3403.9962475848943,3473.9136890078944,3473.9136890078935,3514.3022820715855,3543.3673054697856,5150.238421340015
0.56,3403.9962475848956,3473.913689007898,3473.913689007897,3514.3022820715873,3543.3673054697892,5150.23842134004
0.5700000000000001,3403.996247584896,3473.9136890078994,3473.913689007899,3514.302282071589,3543.367305469792,5150.238421340053
0.58,3403.9962475848965,3473.9136890079003,3473.9136890079,3514.3022820715896,3543.367305469793,5150.23842134006
0.59,3403.996247584897,3473.9136890079008,3473.9136890079008,3514.30228207159,3543.3673054697942,5150.238421340064
0.6,3403.996247584897,3473.9136890079008,3473.9136890079008,3514.30228207159,3543.3673054697942,5150.238421340067
0.61,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.238421340069
0.62,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.238421340069
0.63,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.238421340069
0.64,3403.996247584898,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.65,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.66,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.67,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.68,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.6900000000000001,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.7000000000000001,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.71,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.72,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.73,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.74,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.75,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.76,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.77,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.78,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.79,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.8,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.81,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.8200000000000001,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.8300000000000001,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.84,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.85,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.86,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.87,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.88,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.89,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.9,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.91,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.92,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.93,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.9400000000000001,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.9500000000000001,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.96,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.97,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.98,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
0.99,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.0,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.01,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.02,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.03,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.04,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.05,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.06,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.07,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.08,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.09,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.1,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.11,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.12,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.1300000000000001,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.1400000000000001,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.1500000000000001,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.16,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.17,3403.996247584898,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.18,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.19,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.2,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.21,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.22,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.23,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.24,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.25,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.26,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.27,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
1.28,3403.9962475848974,3473.9136890079008,3473.9136890079008,3514.3022820715905,3543.3673054697942,5150.23842134007
