Time,TC1/u (J_per_m3),TC2/u (J_per_m3),TC3/u (J_per_m3),TC4/u (J_per_m3),TC5/u (J_per_m3),TC9/u (J_per_m3)
1.19,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413542,3525.231878304642,4913.195048422551
1.2,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413542,3525.231878304642,4913.195048422551
1.21,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413542,3525.231878304642,4913.195048422551
1.22,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413542,3525.231878304642,4913.195048422551
1.23,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.24,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.25,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.26,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.27,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.672503841355,3525.231878304642,4913.195048422551
1.28,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.29,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.3,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.31,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.32,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.33,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.34,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.35,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.36,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.37,3389.6857165795927,3445.51007918038,3445.510079180381,3498.672503841355,3525.231878304642,4913.195048422551
1.3800000000000001,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.3900000000000001,3389.6857165795927,3445.51007918038,3445.510079180381,3498.672503841355,3525.231878304642,4913.195048422551
1.4000000000000001,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.41,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.42,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.43,3389.6857165795927,3445.5100791803816,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.44,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.45,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.46,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.47,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.48,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.49,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.5,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.51,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.52,3389.6857165795927,3445.510079180381,3445.510079180381,3498.672503841355,3525.231878304642,4913.195048422551
1.53,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.54,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.55,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.56,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.57,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.58,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.59,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.6,3389.6857165795927,3445.51007918038,3445.510079180381,3498.672503841355,3525.231878304642,4913.195048422551
1.61,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.62,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.6300000000000001,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.6400000000000001,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.6500000000000001,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.6600000000000001,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.67,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.68,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.69,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.7,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.71,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.72,3389.6857165795927,3445.5100791803816,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.73,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.74,3389.6857165795927,3445.5100791803816,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.75,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.76,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.77,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.78,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.79,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.8,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.81,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.82,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.83,3389.6857165795927,3445.5100791803807,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
1.84,3389.6857165795927,3445.510079180381,3445.510079180381,3498.6725038413547,3525.231878304642,4913.195048422551
