Time,TC1/v (m3_per_s),TC2/v (m3_per_s),TC3/v (m3_per_s),TC4/v (m3_per_s),TC5/v (m3_per_s),TC9/v (m3_per_s)
0.46,7.453736029694079e-18,8.675616450003094e-18,2.7138353167812906e-18,1.9296331126135644e-12,4.784511109680428e-13,1.3564403685303993e-12
0.47000000000000003,7.455430585375104e-18,8.677589910660525e-18,2.7144278435776283e-18,1.9300102770366373e-12,4.785396044342783e-13,1.3567120011493084e-12
0.48,7.456896171020942e-18,8.679296715755654e-18,2.714940307684302e-18,1.9303364787439047e-12,4.786161406025965e-13,1.3569469305822478e-12
0.49,7.458163726123354e-18,8.680772896412585e-18,2.7153835273181536e-18,1.930618603852516e-12,4.786823351513021e-13,1.3571501161889062e-12
0.5,7.459260008072997e-18,8.682049614251036e-18,2.7157668586556075e-18,1.9308626080227448e-12,4.787395854471375e-13,1.3573258472168865e-12
0.51,7.460208160013727e-18,8.683153821395179e-18,2.7160983941717016e-18,1.93107364218196e-12,4.787891000436916e-13,1.3574778333477088e-12
0.52,7.461028196028854e-18,8.684108827228042e-18,2.716385132306252e-18,1.931256161260686e-12,4.788319241939625e-13,1.3576092830081812e-12
0.53,7.461737428910678e-18,8.684934791987869e-18,2.7166331262319104e-18,1.9314140182361773e-12,4.788689619156462e-13,1.3577229711002773e-12
0.54,7.46235082999194e-18,8.685649151613556e-18,2.716847611007293e-18,1.9315505454687548e-12,4.789009950749455e-13,1.3578212975793114e-12
0.55,7.462881347793537e-18,8.686266987060501e-18,2.717033114518911e-18,1.931668625047929e-12,4.789286998917667e-13,1.3579063381169872e-12
0.56,7.463340180979375e-18,8.686801339673428e-18,2.7171935527081676e-18,1.931770749633291e-12,4.789526612147165e-13,1.3579798879188242e-12
0.5700000000000001,7.46373701734216e-18,8.687263490244604e-18,2.717332312226406e-18,1.93185907507456e-12,4.78973384867258e-13,1.3580434996209374e-12
0.58,7.46408023190609e-18,8.687663194706112e-18,2.717452322613332e-18,1.9319354659215605e-12,4.789913083256387e-13,1.3580985160661852e-12
0.59,7.46437707120143e-18,8.688008890735182e-18,2.717556116951151e-18,1.9320015347848644e-12,4.790068099540172e-13,1.3581460986515773e-12
0.6,7.464633801766391e-18,8.688307876154016e-18,2.717645886618715e-18,1.932058676377996e-12,4.790202169917259e-13,1.3581872518453607e-12
0.61,7.464855843919034e-18,8.688566463707505e-18,2.7177235270026836e-18,1.9321080972974887e-12,4.790318126415256e-13,1.3582228445893798e-12
0.62,7.4650478835846e-18,8.688790110808566e-18,2.7177906765918738e-18,1.9321508405951605e-12,4.790418415039197e-13,1.358253628148526e-12
0.63,7.465213975104488e-18,8.688983539235247e-18,2.717848753038901e-18,1.9321878083416754e-12,4.790505151898456e-13,1.3582802522045257e-12
0.64,7.465357624505516e-18,8.689150831558306e-18,2.7178989821638866e-18,1.9322197809192417e-12,4.790580168473459e-13,1.3583032787616239e-12
0.65,7.465481863450248e-18,8.689295518754577e-18,2.717942424146016e-18,1.932247433285567e-12,4.790645048569112e-13,1.3583231939163253e-12
0.66,7.465589314770205e-18,8.689420655832965e-18,2.7179799961861285e-18,1.932271349198331e-12,4.79070116189385e-13,1.3583404180880185e-12
0.67,7.46568224687646e-18,8.689528883710286e-18,2.7180124913095044e-18,1.9322920335363565e-12,4.790749693048098e-13,1.3583553148888409e-12
0.68,7.465762622458644e-18,8.68962248791398e-18,2.7180405957901398e-18,1.9323099229578763e-12,4.790791666556958e-13,1.3583681987988136e-12
0.6900000000000001,7.465832136963143e-18,8.689703443887199e-18,2.7180649025498002e-18,1.932325395118721e-12,4.790827968506308e-13,1.3583793418045947e-12
0.7000000000000001,7.465892258273779e-18,8.689773461059913e-18,2.7180859249430497e-18,1.9323387766449043e-12,4.79085936525106e-13,1.3583889791413036e-12
0.71,7.465944256472286e-18,8.689834017400654e-18,2.7181041069030358e-18,1.9323503500279215e-12,4.790886519594118e-13,1.3583973142585034e-12
0.72,7.465989228488435e-18,8.689886391324e-18,2.7181198319844686e-18,1.9323603595883334e-12,4.790910004778791e-13,1.3584045231151568e-12
0.73,7.466028123651958e-18,8.689931687956945e-18,2.7181334321309005e-18,1.9323690166335197e-12,4.790930316590363e-13,1.358410757894232e-12
0.74,7.466061762931668e-18,8.689970864347577e-18,2.7181451947878044e-18,1.9323765039185063e-12,4.790947883822443e-13,1.3584161502153727e-12
0.75,7.466090857573336e-18,8.690004746917234e-18,2.7181553679203223e-18,1.9323829795040328e-12,4.790963077329037e-13,1.3584208139134677e-12
0.76,7.46611602052292e-18,8.690034051204355e-18,2.7181641664095217e-18,1.9323885800932955e-12,4.79097621785348e-13,1.3584248474417676e-12
0.77,7.466137783260778e-18,8.690059395967237e-18,2.7181717760776244e-18,1.9323934239178377e-12,4.790987582799528e-13,1.3584283359502894e-12
0.78,7.466156605120614e-18,8.690081316229076e-18,2.718178357658095e-18,1.9323976132334773e-12,4.790997412087478e-13,1.3584313530833804e-12
0.79,7.466172883810861e-18,8.690100274383894e-18,2.7181840497732077e-18,1.93240123647899e-12,4.79100591321906e-13,1.3584339625343916e-12
0.8,7.466186963230578e-18,8.69011667094988e-18,2.7181889727387154e-18,1.932404370143095e-12,4.791013265657856e-13,1.358436219390279e-12
0.81,7.466199139782268e-18,8.690130851973343e-18,2.7181932306040344e-18,1.932407080379177e-12,4.791019624617927e-13,1.3584381712945204e-12
0.8200000000000001,7.466209671089616e-18,8.690143116608932e-18,2.718196912971868e-18,1.9324094244018203e-12,4.791025124340441e-13,1.3584398594528954e-12
0.8300000000000001,7.466218780206027e-18,8.690153724347307e-18,2.718200097920633e-18,1.9324114516946417e-12,4.791029880927584e-13,1.3584413195033628e-12
0.84,7.466226657117693e-18,8.690162898188251e-18,2.7182028524455818e-18,1.932413205054916e-12,4.791033994793551e-13,1.3584425822683955e-12
0.85,7.466233469866198e-18,8.690170832926045e-18,2.7182052348298262e-18,1.9324147214970494e-12,4.791037552784324e-13,1.358443674405664e-12
0.86,7.466239362744853e-18,8.690177695678312e-18,2.7182072951957405e-18,1.932416033033974e-12,4.791040630011062e-13,1.3584446189707902e-12
0.87,7.466244459004195e-18,8.690183630645704e-18,2.718209077159163e-18,1.9324171673529624e-12,4.791043291435726e-13,1.3584454359040674e-12
0.88,7.46624886656359e-18,8.690188763695293e-18,2.718210618435939e-18,1.932418148400116e-12,4.791045593242466e-13,1.35844614245141e-12
0.89,7.466252679213694e-18,8.690193203418279e-18,2.718211951503603e-18,1.9324189968858845e-12,4.791047584023697e-13,1.3584467535284222e-12
0.9,7.466255976616437e-18,8.690197042892833e-18,2.7182131043733387e-18,1.9324197307222705e-12,4.791049305805905e-13,1.35844728203528e-12
0.91,7.466258828212973e-18,8.690200363914923e-18,2.7182141013619403e-18,1.9324203654009674e-12,4.791050794936878e-13,1.3584477391290547e-12
0.92,7.466261294125518e-18,8.690203236116893e-18,2.7182149637534965e-18,1.932420914320395e-12,4.791052082852991e-13,1.3584481344592498e-12
0.93,7.466263427261617e-18,8.690205720140583e-18,2.7182157095788284e-18,1.9324213890685464e-12,4.79105319674287e-13,1.358448476371504e-12
0.9400000000000001,7.466265272111707e-18,8.690207868695029e-18,2.7182163546080117e-18,1.9324217996676166e-12,4.791054160121341e-13,1.358448772083775e-12
0.9500000000000001,7.466266867755225e-18,8.690209726732761e-18,2.7182169125709373e-18,1.93242215478558e-12,4.791054993325856e-13,1.3584490278387124e-12
0.96,7.466268247560001e-18,8.690211333741486e-18,2.718217395047032e-18,1.9324224619191736e-12,4.791055713945831e-13,1.3584492490354445e-12
0.97,7.466269440985918e-18,8.690212723567811e-18,2.7182178123474985e-18,1.932422727552157e-12,4.79105633719395e-13,1.3584494403435566e-12
0.98,7.466270472983696e-18,8.690213926003805e-18,2.7182181732947573e-18,1.9324229572921917e-12,4.791056876227327e-13,1.358449605801669e-12
0.99,7.46627136579855e-18,8.690214965553e-18,2.7182184854430054e-18,1.9324231559892143e-12,4.791057342425248e-13,1.3584497489026944e-12
1.0,7.46627213836898e-18,8.69021586442723e-18,2.7182187553539177e-18,1.932423327837831e-12,4.791057745629421e-13,1.3584498726675747e-12
1.01,7.46627280572554e-18,8.6902166418415e-18,2.7182189888172075e-18,1.932423476465861e-12,4.791058094351701e-13,1.3584499797090545e-12
1.02,7.466273383500001e-18,8.690217314895394e-18,2.718219190850626e-18,1.9324236050109232e-12,4.791058395953816e-13,1.3584500722868397e-12
1.03,7.466273882814976e-18,8.690217896633963e-18,2.7182193655345422e-18,1.9324237161866766e-12,4.79105865680274e-13,1.3584501523552979e-12
1.04,7.466274315093684e-18,8.6902183995734e-18,2.7182195165633446e-18,1.9324238123401023e-12,4.79105888240515e-13,1.3584502216047185e-12
1.05,7.466274688452624e-18,8.690218834643334e-18,2.718219647135161e-18,1.932423895501052e-12,4.791059077523638e-13,1.3584502814969955e-12
1.06,7.466275011609515e-18,8.69021921101056e-18,2.7182197601724175e-18,1.9324239674251e-12,4.791059246277254e-13,1.358450333296488e-12
1.07,7.466275291177803e-18,8.690219536607874e-18,2.718219857935859e-18,1.9324240296306018e-12,4.791059392228492e-13,1.3584503780967121e-12
1.08,7.466275532568487e-18,8.690219818134085e-18,2.7182199424105306e-18,1.932424083430751e-12,4.791059518458455e-13,1.3584504168434248e-12
1.09,7.466275741192563e-18,8.69022006158286e-18,2.7182200155263366e-18,1.9324241299612984e-12,4.791059627631928e-13,1.3584504503545915e-12
1.1,7.466275922761645e-18,8.690220272066453e-18,2.7182200787720602e-18,1.932424170204529e-12,4.791059722053627e-13,1.3584504793376505e-12
1.11,7.466276079079398e-18,8.690220454168252e-18,2.718220133471064e-18,1.93242420501e-12,4.791059803716848e-13,1.358450504404451e-12
1.12,7.466276213753154e-18,8.69022061176652e-18,2.7182201807261515e-18,1.9324242351124744e-12,4.791059874345541e-13,1.3584505260841672e-12
1.1300000000000001,7.466276331592689e-18,8.690220747858087e-18,2.718220221584984e-18,1.9324242611474325e-12,4.791059935430719e-13,1.358450544834469e-12
