Time,TC1/v (m3_per_s),TC2/v (m3_per_s),TC3/v (m3_per_s),TC4/v (m3_per_s),TC5/v (m3_per_s),TC9/v (m3_per_s)
0.8300000000000001,4.992033668251425e-13,5.810376235198728e-13,1.8174316369214992e-13,1.297756340207207e-12,3.217527592735249e-13,8.885067311709117e-13
0.84,4.992033672825241e-13,5.810376240529118e-13,1.8174316384703094e-13,1.2977563412842045e-12,3.217527595148023e-13,8.885067319306742e-13
0.85,4.992033676436169e-13,5.810376244737351e-13,1.8174316396930614e-13,1.2977563421344715e-12,3.2175275970528533e-13,8.885067325304902e-13
0.86,4.992033679286923e-13,5.810376248059656e-13,1.8174316406583975e-13,1.2977563428057382e-12,3.2175275985566756e-13,8.885067330040316e-13
0.87,4.992033681537527e-13,5.810376250682539e-13,1.8174316414205078e-13,1.2977563433356884e-12,3.217527599743909e-13,8.885067333778825e-13
0.88,4.99203368331433e-13,5.81037625275325e-13,1.8174316420221792e-13,1.2977563437540725e-12,3.2175276006812065e-13,8.885067336730294e-13
0.89,4.992033684717077e-13,5.810376254388037e-13,1.817431642497185e-13,1.2977563440843773e-12,3.21752760142118e-13,8.885067339060415e-13
0.9,4.992033685824523e-13,5.810376255678668e-13,1.8174316428721928e-13,1.2977563443451468e-12,3.2175276020053756e-13,8.885067340899994e-13
0.91,4.99203368669882e-13,5.810376256697582e-13,1.8174316431682512e-13,1.2977563445510182e-12,3.2175276024665823e-13,8.885067342352302e-13
0.92,4.992033687389065e-13,5.810376257502e-13,1.8174316434019838e-13,1.297756344713549e-12,3.2175276028306977e-13,8.885067343498868e-13
0.93,4.992033687933989e-13,5.810376258137068e-13,1.8174316435865113e-13,1.2977563448418633e-12,3.2175276031181556e-13,8.885067344404055e-13
0.9400000000000001,4.992033688364205e-13,5.810376258638442e-13,1.8174316437321903e-13,1.2977563449431646e-12,3.2175276033450997e-13,8.885067345118683e-13
0.9500000000000001,4.992033688703847e-13,5.810376259034264e-13,1.8174316438472004e-13,1.2977563450231398e-12,3.217527603524268e-13,8.885067345682866e-13
